Name,University,JoinYear,Rank,Subfield,,,,,,,,,,,,,,,,,,
Chitta Baral,Arizona State University,1999,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Kasim Candan,Arizona State University,1997,Full,Databases,,,,,,,,,,,,,,,,,,
Charles Colbourn,Arizona State University,2001,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
James Collofello,Arizona State University,1979,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Sandeep Gupta,Arizona State University,2001,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Subbarao Kambhampati,Arizona State University,1991,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Huan Liu,Arizona State University,2000,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Arunabha Sen,Arizona State University,1987,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Wei-Tek Tsai,Arizona State University,2000,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Kurt VanLehn,Arizona State University,2008,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Guoliang Xue,Arizona State University,2001,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Rida Bazzi,Arizona State University,1996,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Partha Dasgupta,Arizona State University,1991,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Hasan Davulcu,Arizona State University,,Associate,Data Mining,,,,,,,,,,,,,,,,,,
Joohyung Lee,Arizona State University,2005,Associate,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Brian Nelson,Arizona State University,,Associate,Computer Education,,,,,,,,,,,,,,,,,,
Andrea Richa,Arizona State University,1998,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Violet Syrotiuk,Arizona State University,2002,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Peter Wonka,Arizona State University,2004,Associate,Graphics,,,,,,,,,,,,,,,,,,
Jieping Ye,Arizona State University,2005,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Georgios Fainekos,Arizona State University,2009,Assistant,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
Aviral Shrivastava,Arizona State University,2006,Assistant,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
Yalin Wang,Arizona State University,2010,Assistant,Computer Vision,,,,,,,,,,,,,,,,,,
Assaf J. Kfoury,Boston University,,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Azer Bestavros,Boston University,1991,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Evimaria Terzi,Boston University,2009,Associate,Data Mining,,,,,,,,,,,,,,,,,,
George Kollios,Boston University,2000,Full,Databases,,,,,,,,,,,,,,,,,,
Hongwei Xi,Boston University,2001,Associate,Programming Languages,,,,,,,,,,,,,,,,,,
Ibrahim Matta,Boston University,1999,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
John Byers,Boston University,1999,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Jonathan Appavoo,Boston University,2009,Assistant,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Leonid Levin,Boston University,1980,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Leonid Reyzin,Boston University,2001,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Lorenzo Orecchia,Boston University,2014,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Margrit Betke,Boston University,2000,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Mark Crovella,Boston University,1994,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Peter Gacs,Boston University,1984,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Ran Canetti,Boston University,,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Richard West,Boston University,2006,Associate,Operating Systems,,,,,,,,,,,,,,,,,,
Sharon Goldberg,Boston University,2010,Assistant,Security & Privacy,,,,,,,,,,,,,,,,,,
Stan Sclaroff,Boston University,1995,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Steve Homer,Boston University,1982,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Wayne Snyder,Boston University,1995,Associate,Multimedia,,,,,,,,,,,,,,,,,,
Amy Greenwald,Brown University,2000,Associate,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Andries van Dam,Brown University,1965,Full,Graphics,,,,,,,,,,,,,,,,,,
Anna Lysyanskaya,Brown University,2002,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Benjamin Raphael,Brown University,2006,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Chad Jenkins,Brown University,2004,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Claire Mathieu,Brown University,2004,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
David Laidlaw,Brown University,1998,Full,Graphics,,,,,,,,,,,,,,,,,,
Eli Upfal,Brown University,1998,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Erik Sudderth,Brown University,2009,Assistant,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Eugene Charniak,Brown University,1978,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Franco Preparata,Brown University,1991,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
James Hays,Brown University,2009,Assistant,Computer Vision,,,,,,,,,,,,,,,,,,
Jeff Huang,Brown University,2013,Assistant,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
John Hughes,Brown University,1984,Full,Graphics,,,,,,,,,,,,,,,,,,
John Savage,Brown University,1967,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Maurice Herlihy,Brown University,1994,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Michael Littman,Brown University,2012,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Paul Valiant,Brown University,2013,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Pedro Felzenszwalb,Brown University,2011,Associate,Computer Vision,,,,,,,,,,,,,,,,,,
Philip Klein,Brown University,1989,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Roberto Tamassia,Brown University,1988,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Rodrigo Fonseca,Brown University,2009,Assistant,Networks & Communications,,,,,,,,,,,,,,,,,,
Shriram Krishnamurthi,Brown University,2000,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Sorin Istrail,Brown University,2005,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Stan Zdonik,Brown University,1983,Full,Databases,,,,,,,,,,,,,,,,,,
Stefanie Tellex,Brown University,2013,Assistant,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Steven Reiss,Brown University,1977,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Thomas Doeppner,Brown University,1981,Research,Operating Systems,,,,,,,,,,,,,,,,,,
Tim Kraska,Brown University,2013,Assistant,Databases,,,,,,,,,,,,,,,,,,
Ugur Cetintemel,Brown University,2001,Full,Databases,,,,,,,,,,,,,,,,,,
